"id";"Pais";"Localidad";"Denominación Genérica";"Denominación Específica";"Código";"Naturaleza";"Tipo"
23543;"ESPAÑA";"Coutada";"Colegio Público";"DE COUTADA-BEADE";36009974;"Centro público";0
23544;"ESPAÑA";"Mosteiro";"Colegio Público";"DE MOSTEIRO-BEMBRIVE";36009998;"Centro público";0
23545;"ESPAÑA";"Vigo";"Colegio Público";"VIRXE DO ROCIO";36010009;"Centro público";0
23546;"ESPAÑA";"Fontiñas";"Centro Privado de Educación Infantil";"EL CARMEN";36010061;"Centro privado";2
23547;"ESPAÑA";"Becerreira";"Colegio Público";"SANTA MARIÑA";36010071;"Centro público";0
23548;"ESPAÑA";"Carballal";"Colegio Público";"CARBALLAL-CABRAL";36010083;"Centro público";0
23549;"ESPAÑA";"Vigo";"Centro Privado con varias Enseñanzas de Régimen General";"MARTIN CODAX";36010095;"Centro privado";1
23550;"ESPAÑA";"Sello";"Colegio Público";"SELLO";36010101;"Centro público";0
23551;"ESPAÑA";"Candean de Arriba";"Centro Privado de Educación Infantil";"MARCEN";36010113;"Centro privado";2
23552;"ESPAÑA";"Vigo";"Colegio Público";"DE FONTEOSCURA";36010125;"Centro público";0
23553;"ESPAÑA";"Igrexa";"Colegio Público";"DE IGREXA-CANDEAN";36010137;"Centro público";0
23554;"ESPAÑA";"Costa";"Colegio Público";"MESTRES GOLDAR";36010150;"Centro público";0
23555;"ESPAÑA";"Vigo";"Colegio Público";"CANICOUVA";36010162;"Centro público";0
23556;"ESPAÑA";"Castreliños";"Centro Privado de Educación Infantil";"MILANI";36010186;"Centro privado";2
23557;"ESPAÑA";"Igrexa";"Colegio Público";"PARROCO DON CAMILO";36010204;"Centro público";0
23558;"ESPAÑA";"Rozo";"Centro Privado con varias Enseñanzas de Régimen General";"EL DIVINO SALVADOR";36010216;"Centro privado";1
23559;"ESPAÑA";"Tintureira";"Colegio Público";"A PAZ";36010228;"Centro público";0
23560;"ESPAÑA";"Vigo";"Colegio Público";"ILLAS CÍES";36010241;"Centro público";0
23561;"ESPAÑA";"Vigo";"Centro Privado de Educación  Especial";"COL.EDU.ESP.HOGAR Y CLINICA SAN RAFAEL";36010253;"Centro privado";2
23562;"ESPAÑA";"Vigo";"Escuela de Educación Infantil";"CRISTO DA VICTORIA";36010265;"Centro público";0
23563;"ESPAÑA";"Barreiro";"Centro Privado con varias Enseñanzas de Régimen General";"ESCUELAS NIETO";36010356;"Centro privado";1
23564;"ESPAÑA";"Vigo";"Colegio Público";"VALLE INCLAN";36010423;"Centro público";0
23565;"ESPAÑA";"Vigo";"Centro Privado con varias Enseñanzas de Régimen General";"EL CASTRO";36010435;"Centro privado";1
23566;"ESPAÑA";"Ribas";"Centro Privado con varias Enseñanzas de Régimen General";"SANTA VEDRUNA";36010447;"Centro privado";1
23567;"ESPAÑA";"Ribas";"Colegio Público";"JOSEFA ALONSO DE ALONSO";36010459;"Centro público";0
23568;"ESPAÑA";"Samil";"Colegio Público";"ALFONSO RODRIGUEZ CASTELAO";36010460;"Centro público";0
23569;"ESPAÑA";"Canido";"Colegio Público";"RIA DE VIGO";36010472;"Centro público";0
23570;"ESPAÑA";"Vigo";"Colegio Público";"EDUARDO PONDAL";36010484;"Centro público";0
23571;"ESPAÑA";"Vigo";"Centro Privado de Educación Primaria";"CAIXANOVA";36010496;"Centro privado";2
23572;"ESPAÑA";"Vigo";"Colegio Público";"LOPE DE VEGA";36010538;"Centro público";0
23573;"ESPAÑA";"Moledo";"Colegio Público";"DE SARDOMA-MOLEDO";36010587;"Centro público";0
23574;"ESPAÑA";"Vigo";"Colegio Público";"VICENTE RISCO";36010629;"Centro público";0
23575;"ESPAÑA";"Igrexa";"Colegio Público";"SAN SALVADOR";36010666;"Centro público";0
23576;"ESPAÑA";"Paraixal";"Colegio Público";"PARAIXAL";36010678;"Centro público";0
23577;"ESPAÑA";"Igrexa";"Colegio Público";"IGREXA-VALADARES";36010691;"Centro público";0
